industry_type,production_scale,energy_source_type,energy_use_per_unit,water_consumption,material_input_tons,waste_generated_tons,recycled_percentage,hazardous_waste_tons,CO2_emissions_tons,NOx_emissions,wastewater_emission_index,recycling_rate,byproduct_reuse_index,energy_recovery_rate,cost_savings_from_recycling,production_cost_index,region,distance_to_industrial_area,population_density,eco_industrial_park_member,sustainability_certified,Symbiosis_Score_Percentage,Symbiosis_Potential
Paper,161.9249701931719,Renewable,4.212744355641091,10645.725488442404,795.3379815336291,29.768956216784378,68.51039811766091,74.71610708661746,297.981453247962,19.77983212697668,0.6716660572094705,0.578636960113228,0.4921148983559032,0.16274083471921863,9143.387138889286,0.7145107052796296,South,32.54494671188132,5135.177969547734,0,1,49.180269936440695,Medium
Steel,312.3505875399683,Renewable,7.4357118320087086,9445.688397075279,285.9716817013991,232.15626239446945,32.08252537454864,16.273040175865205,272.3204540816539,28.62515960365083,0.19618060693797867,0.4546279392006006,0.22501971019192496,0.6019459423938811,22552.663995352956,0.4324202397933403,Central,7.837740074769597,6705.253921972409,1,0,35.05270115515636,Low
Plastic,269.7481296828229,Mixed,2.2326682993141627,13020.253089951218,555.5131511629754,190.90165004167721,31.646243346757977,11.75153311303462,38.05448209370652,34.82358008673185,0.6714580313003613,0.7331468090603973,0.7249913889275331,0.22951279929574342,10562.802635264463,0.6687854127556684,South,39.06148005223684,1534.6684000319515,0,0,28.15666998849441,Low
Food Processing,112.70805255206386,Mixed,2.4976992708176584,3734.3998923699746,683.2361481142868,296.6046929236074,94.84657963061179,68.4658325699123,410.2602514272975,37.394441381030916,0.25243119410203996,0.11113323292967446,0.2979572179387957,0.28625867682133904,39022.927128478805,0.8222152987734148,West,34.891168454525754,7460.810124733258,1,1,54.82180756467617,Medium
Paper,374.00016712343887,Non-renewable,1.0912069742995862,13160.078220081301,736.8556875130042,106.57086982938799,25.97370641927261,54.473377009380116,397.21502526629973,13.433902236685633,0.018558336523525565,0.6558446595022377,0.3935388371841874,0.7210259044005721,16832.916732454258,0.7176918855240345,South,36.662032077768366,4339.367500287061,0,1,44.87046793333033,Medium
Automobile,332.82708387970774,Renewable,1.0993303457703703,11947.63832714876,588.4495182050764,23.219903955608913,22.58507955655052,14.926279940291307,143.107966421276,5.865380922323995,0.699208677537377,0.9474840570656112,0.387347512628777,0.9299009459291543,36567.26892114642,0.4468554904560783,North,5.535841559743537,7398.836568356953,0,0,34.925268540695214,Low
Cement,87.367233532044,Renewable,6.8057413887095874,11348.331982621441,262.7059425628522,221.63326042391225,18.38824435959325,21.54877605308302,616.1727201612289,9.858573868892176,0.6447936024607496,0.7521727365212284,0.2697840258691539,0.5853699513167206,10571.051870937723,0.6893089972167089,South,30.206074619982928,1820.2946411738694,0,0,17.40025755038824,Low
Paper,288.4375075162387,Mixed,6.124858247900691,8638.207332086398,294.7116136767098,158.91135856170746,59.28345433917767,64.0531153220249,404.2859776425823,31.158773935588837,0.41080926237434146,0.3115071604197097,0.43763479852856463,0.8155260228400226,9189.942201619506,0.6714956236321206,North,61.00574022979349,4915.588783913053,0,1,43.91340713966237,Medium
Plastic,326.7989339263162,Mixed,3.485287395163708,4070.540334073701,65.56852409297315,67.89515975979484,63.36842521017862,36.30948959967489,284.4152967260272,38.87362649417127,0.5256860559195061,0.3000375452348425,0.47601129283485644,0.05799542344594513,25442.24290351002,0.7925061981472132,East,30.77532112158237,3350.3195151241166,0,1,36.08262948533048,Low
Food Processing,199.81931831053504,Mixed,5.888178100593009,6641.4447818824965,620.6644832536323,235.61005175640403,41.044373731834966,53.64324052048727,134.58894903788303,18.92254788573503,0.9471691917057596,0.650496749534113,0.7197995055283768,0.08296847586465733,31616.404975526184,0.4068795581980199,North,57.783412303547294,6238.933091016903,1,0,37.91826576179502,Low
Steel,102.05489259751002,Non-renewable,3.7664414841697913,12006.774490812622,82.05470454646354,65.1078683257334,55.51013351847476,25.46816177088087,450.6854450373897,12.561451935137695,0.5952001809054377,0.8562688313076773,0.7385617169393334,0.5870519035932771,23537.053426390277,0.7197808002008159,North,30.819340443431194,4926.089757063712,0,0,40.33891325266884,Medium
Plastic,104.74274095641192,Non-renewable,7.670277571984792,960.7880231812044,698.4892659520593,81.89518817571629,77.01396013031757,30.498396221990134,607.1972803492716,17.45302798742136,0.6578839353365314,0.5701547667630587,0.19270037146249586,0.40008479144039516,10732.235976999857,0.3164224152802212,West,35.01267643623454,4057.220564274884,0,0,29.80259689534559,Low
Plastic,113.35902913657904,Non-renewable,7.769368769982244,11839.736154324495,138.9954608559041,32.29592353818215,79.53885430734861,79.2570046898484,239.9594950942779,12.54011921348273,0.06391132094914109,0.5246620584530525,0.5834950693947788,0.8507820334758385,3439.9857895918503,0.7177051803814607,West,45.983584800682756,7321.286170161868,0,1,62.27653469544407,Medium
